409
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
   0      21     342    1808       0    4223       8
   0      21     343     559    1720    4223       8
   0      21     344   -1463    1063    4223       8
   0      21     345   -1463   -1063    4223       8
   0      21     346     559   -1720    4223       8
   0      21     347    3617       0    4223       8
   0      21     348    2926    2126    4223       8
   0      21     349    1118    3440    4223       8
   0      21     350   -1118    3440    4223       8
   0      21     351   -2926    2126    4223       8
   0      21     352   -3617       0    4223       8
   0      21     353   -2926   -2126    4223       8
   0      21     354   -1118   -3440    4223       8
   0      21     355    1118   -3440    4223       8
   0      21     356    2926   -2126    4223       8
# side
   1      22     357    3780    1376    3167       8
   1      22     358    2012    3484    3167       8
   1      22     359    -699    3962    3167       8
   1      22     360   -3082    2586    3167       8
   1      22     361   -4023       0    3167       8
   1      22     362   -3082   -2586    3167       8
   1      22     363    -699   -3962    3167       8
   1      22     364    2011   -3484    3167       8
   1      22     365    3780   -1376    3167       8
   1      23     366    4023       0    1056       8
   1      23     367    3082    2586    1056       8
   1      23     368     699    3962    1056       8
   1      23     369   -2011    3484    1056       8
   1      23     370   -3780    1376    1056       8
   1      23     371   -3780   -1376    1056       8
   1      23     372   -2012   -3484    1056       8
   1      23     373     699   -3962    1056       8
   1      23     374    3082   -2586    1056       8
   1      24     375    3780    1376   -1056       8
   1      24     376    2012    3484   -1056       8
   1      24     377    -699    3962   -1056       8
   1      24     378   -3082    2586   -1056       8
   1      24     379   -4023       0   -1056       8
   1      24     380   -3082   -2586   -1056       8
   1      24     381    -699   -3962   -1056       8
   1      24     382    2011   -3484   -1056       8
   1      24     383    3780   -1376   -1056       8
   1      25     384    4023       0   -3167       8
   1      25     385    3082    2586   -3167       8
   1      25     386     699    3962   -3167       8
   1      25     387   -2011    3484   -3167       8
   1      25     388   -3780    1376   -3167       8
   1      25     389   -3780   -1376   -3167       8
   1      25     390   -2012   -3484   -3167       8
   1      25     391     699   -3962   -3167       8
   1      25     392    3082   -2586   -3167       8
# bottom
   2      26     393    2926   -2126   -4223       8
   2      26     394    1118   -3440   -4223       8
   2      26     395   -1118   -3440   -4223       8
   2      26     396   -2926   -2126   -4223       8
   2      26     397   -3617       0   -4223       8
   2      26     398   -2926    2126   -4223       8
   2      26     399   -1118    3440   -4223       8
   2      26     400    1118    3440   -4223       8
   2      26     401    2926    2126   -4223       8
   2      26     402    3617       0   -4223       8
   2      26     403     559   -1720   -4223       8
   2      26     404   -1463   -1063   -4223       8
   2      26     405   -1463    1063   -4223       8
   2      26     406     559    1720   -4223       8
   2      26     407    1808       0   -4223       8
   2      26     408       0       0   -4223       8
