540
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
    0     0     0      200      346     2623  8
    0     0     1     -400        0     2623  8
    0     0     2      200     -346     2623  8
#    0     1     3      724      194     2623  8
#    0     1     4      530      530     2623  8
#    0     1     5      194      724     2623  8
#    0     1     6     -194      724     2623  8
#    0     1     7     -530      530     2623  8
#    0     1     8     -724      194     2623  8
#    0     1     9     -724     -194     2623  8
#    0     1    10     -530     -530     2623  8
#    0     1    11     -194     -724     2623  8
#    0     1    12      194     -724     2623  8
#    0     1    13      530     -530     2623  8
#    0     1    14      724     -194     2623  8
    0     2    15     1231      217     2623  8
    0     2    16     1083      625     2623  8
    0     2    17      803      958     2623  8
    0     2    18      428     1175     2623  8
    0     2    19        0     1250     2623  8
    0     2    20     -428     1175     2623  8
    0     2    21     -803      958     2623  8
    0     2    22    -1083      625     2623  8
    0     2    23    -1231      217     2623  8
    0     2    24    -1231     -217     2623  8
    0     2    25    -1083     -625     2623  8
    0     2    26     -803     -958     2623  8
    0     2    27     -428    -1175     2623  8
    0     2    28        0    -1250     2623  8
    0     2    29      428    -1175     2623  8
    0     2    30      803     -958     2623  8
    0     2    31     1083     -625     2623  8
    0     2    32     1231     -217     2623  8
#    0     3    33     1735      228     2623  8
#    0     3    34     1617      670     2623  8
#    0     3    35     1388     1065     2623  8
#    0     3    36     1065     1388     2623  8
#    0     3    37      670     1617     2623  8
#    0     3    38      228     1735     2623  8
#    0     3    39     -228     1735     2623  8
#    0     3    40     -670     1617     2623  8
#    0     3    41    -1065     1388     2623  8
#    0     3    42    -1388     1065     2623  8
#    0     3    43    -1617      670     2623  8
#    0     3    44    -1735      228     2623  8
#    0     3    45    -1735     -228     2623  8
#    0     3    46    -1617     -670     2623  8
#    0     3    47    -1388    -1065     2623  8
#    0     3    48    -1065    -1388     2623  8
#    0     3    49     -670    -1617     2623  8
#    0     3    50     -228    -1735     2623  8
#    0     3    51      228    -1735     2623  8
#    0     3    52      670    -1617     2623  8
#    0     3    53     1065    -1388     2623  8
#    0     3    54     1388    -1065     2623  8
#    0     3    55     1617     -670     2623  8
#    0     3    56     1735     -228     2623  8
    0     4    57     2238      235     2623  8
    0     4    58     2140      695     2623  8
    0     4    59     1949     1125     2623  8
    0     4    60     1672     1506     2623  8
    0     4    61     1323     1820     2623  8
    0     4    62      915     2055     2623  8
    0     4    63      468     2201     2623  8
    0     4    64        0     2250     2623  8
    0     4    65     -468     2201     2623  8
    0     4    66     -915     2055     2623  8
    0     4    67    -1323     1820     2623  8
    0     4    68    -1672     1506     2623  8
    0     4    69    -1949     1125     2623  8
    0     4    70    -2140      695     2623  8
    0     4    71    -2238      235     2623  8
    0     4    72    -2238     -235     2623  8
    0     4    73    -2140     -695     2623  8
    0     4    74    -1949    -1125     2623  8
    0     4    75    -1672    -1506     2623  8
    0     4    76    -1323    -1820     2623  8
    0     4    77     -915    -2055     2623  8
    0     4    78     -468    -2201     2623  8
    0     4    79        0    -2250     2623  8
    0     4    80      468    -2201     2623  8
    0     4    81      915    -2055     2623  8
    0     4    82     1323    -1820     2623  8
    0     4    83     1672    -1506     2623  8
    0     4    84     1949    -1125     2623  8
    0     4    85     2140     -695     2623  8
    0     4    86     2238     -235     2623  8
# side
#    1     5    87     2569      135     2475  8
#    1     5    88     2485      666     2475  8
#    1     5    89     2292     1168     2475  8
#    1     5    90     1999     1619     2475  8
#    1     5    91     1619     1999     2475  8
#    1     5    92     1168     2292     2475  8
#    1     5    93      666     2485     2475  8
#    1     5    94      135     2569     2475  8
#    1     5    95     -402     2541     2475  8
#    1     5    96     -922     2402     2475  8
#    1     5    97    -1401     2158     2475  8
#    1     5    98    -1819     1819     2475  8
#    1     5    99    -2158     1401     2475  8
#    1     5   100    -2402      922     2475  8
#    1     5   101    -2541      402     2475  8
#    1     5   102    -2569     -135     2475  8
#    1     5   103    -2485     -666     2475  8
#    1     5   104    -2292    -1168     2475  8
#    1     5   105    -1999    -1619     2475  8
#    1     5   106    -1619    -1999     2475  8
#    1     5   107    -1168    -2292     2475  8
#    1     5   108     -666    -2485     2475  8
#    1     5   109     -135    -2569     2475  8
#    1     5   110      402    -2541     2475  8
#    1     5   111      922    -2402     2475  8
#    1     5   112     1401    -2158     2475  8
#    1     5   113     1819    -1819     2475  8
#    1     5   114     2158    -1401     2475  8
#    1     5   115     2402     -922     2475  8
#    1     5   116     2541     -402     2475  8
#    1     6   117     2541      402     2025  8
